Pinterest ID,Name,Description,Alt Text,URL
81768549505987246,Lacon Slipper Chair,"KEY DETAILS Engineered wood seat and back. Metal base in a Textured Antique Bronze or Polished Stainless Steel finish. Attached cushions have fiber-wrapped, high-resiliency polyurethane foam cores. GREENGUARD Gold Certified . This low-emitting product has been screened for over 10,000 chemicals and VOCs. This contract-grade item is manufactured to meet the demands of commercial use in addition to residential. See more . Made in China. How to measure for delivery",a white chair sitting on top of a white floor next to a gray wall with a black frame,https://i.pinimg.com/736x/5b/14/c1/5b14c1e3462b46ed60447f915e3ac46e.jpg
394065036163808909,Mathilda Lounge Chair,"Mathilda is a modern project in the architectural sense, in the proportional relationship between the whole and the detail. The idea is simple, perfect for the function for which it is reserved: two trestles confer solidity and belonging, they support the seat lending themselves simultaneously as supports for the backrest. This sophisticated lounge chair comes with an ash or oak wood* structure. Armrest covers come in a leather or fabric strap or braided in cord. An innovative designer furniture piece perfect to fit interior design projects. Made in Italy. *FSC® Certified","a purple chair with a wooden frame and seat cushion on the back, in front of a white background",https://i.pinimg.com/736x/0c/6c/e5/0c6ce53d0bb59cfdc38c6d144cd82d75.jpg
209135976440755001,Chester Dining Chair Taylor Felt Grey,Classic-meets-contemporary barrel chair by Brett Beldock is wrapped in fabric and outlined by a thick band of solid American red oak certified sustainable by the Forest Stewardship Council ®. Makes a bold statement as an end chair or can be used as a side chair. CB2 exclusive. Designed by Brett Beldock exclusively for CB2 Solid American red oak and engineered wood certified sustainable by the Forest Stewardship Council ® Generously cushioned with dense foam for plush comfort and suppor,"a chair that is made out of fabric and has a curved back, with a rounded seat",https://i.pinimg.com/736x/4f/de/c4/4fdec492ab991477285b7cdd47e4bce8.jpg
44895327533862463,Mickey Wingback Lounge Chair,"Description Micky is a comfortable seat in which walnut, natural raffia, and light denim are in perfect balance, both in tone and texture. The organic and rough finish of the raffia contrasts with the smoothness of the denim, giving a fresh yet elegant look to the seat.  Production lead time:  16-20 weeks. About the Brand | Handcrafted by artisans in Florence and Italy, renowned Italian designer and architect Michele Bönan, introduced his namesake furniture collection to create products in line with his interior style. Known for his sumptuous, residential-style interiors for beloved hotels around the world, including the J.K. Place locations in Capri, Rome, and Florence and many of the properties in the Ferragamo family–owned Lungarno Collection, Michele Bönan translates a 19th-century aesthetic into a refined style that feels relevant today. Details Brand Michele Bönan Dimensions 33.1 W x 30.32 D x 41.73 H inches, (79 W x 77 D x 106 H cm) Material Walnut, denim, raffia Condition New. Made in Italy. Shipping & Delivery At checkout, you will be charged a $25 base amount for shipping. The shipping cost will increase depending on your address. We will email this cost to you after the purchase. Michele Bonan's pieces are made in Florence, Italy and ship directly from there. The shipping cost will depend on the piece and quantity ordered.  The cost  will include professional crating and transit insurance. It does not include import customs duties and taxes. If you would like to know the shipping cost before purchasing, please email hello@forsythart.com.",an upholstered chair with blue cushions on the back and arm rests against a white wall,https://i.pinimg.com/736x/2c/5b/bf/2c5bbf3781ecceafebd3d4b7fe024d71.jpg
919297342701209789,Afra & Tobia Scarpa Leather and Wood Monk Dining Chair / Sandstone Beige Saddle Leather with Golden Oak,A resplendent leather seating. The Afra & Tobia Scarpa Leather and Wood Monk Dining Chair is a testament to the duo's mastery of minimalist elegance and craftsmanship.,a chair made out of wood and leather,https://i.pinimg.com/736x/99/5a/43/995a438766fadae7545b41d44f77b916.jpg
13229392652404039,Chair #1 - Camel Nubuck,"Introducing Chair #1 by Gordon von Steiner, designed exclusively for House of Leon. This piece masterfully blends von Steiner’s creative point of view with furniture design, reflecting his sharp eye for detail and composition. Crafted with a striking chrome frame made of polished stainless steel, this unique accent chair offers clean lines and a minimalist aesthetic, mirroring the precision of his work. Upholstered in a supple Italian Nubuck, the seat provides a soft contrast to the structured frame, evoking a timeless sense of luxury. Minimalist yet bold, this design is a testament to von Steiner’s talent for transforming simplicity into an unforgettable statement. Limited Edition of 100.",a chair that is made out of metal and tan fabric with a seat cushion on the back,https://i.pinimg.com/736x/54/00/13/540013ee0a9849a3794bc93dfe3b8580.jpg
119626933849332879,"Ava Lounge Chair, Chairs","Gently rounded corners and edges in a robust wood frame create the perfect hint of soft, inviting ambiance for a modern lounge chair. The Ava is a simple but sophisticated presentation that highlights the natural beauty of high-quality wood and pairs it with plush, inviting cushions that encourage relaxation and enjoyment. Features: Stark, straight frame pairs perfectly with plush cushions, Legs of varying widths create visual dimension and interest Robust framework creates a sculptural look and feel Beautiful hardwood construction with a natural stone tabletop Designed by Gregory Beson Available in outdoor or indoor materials and finishes As Shown: Teak, Upholstery Fabric, Natural Oil and Wax Finish Production Lead Time: 6-8 weeks Measurements: Dimensions: 32""W x 34""D x 28""H Seat Height: 15""H More options are available for this product. For inquiries, please contact our team at sales@claudehome.com. PRODUCT DETAILS Please note additional shipping fees will be invoiced separately and may not be fully charged at the point of checkout or included in the purchase price. For a quote, please reach out to sales@claudehome.com.",a wooden chair sitting on top of a floor next to a white wall and black pillow,https://i.pinimg.com/736x/ae/7a/66/ae7a66c6a54c394ecce7378b9ab6caba.jpg
207447126578635908,Chan Chair,Material: Metal and Leather Size: 32.6 in x 27.6 in x 26.8 in For custom inquiries email custom@ewer.studio,a black leather chair sitting on top of a white floor next to a metal frame,https://i.pinimg.com/736x/5a/2f/99/5a2f994b6541175e5a98cc9f5d3d111e.jpg
1125968698334270,"Lounge Chair - HUANXIN LIGHTING A comfortable lounge chair 37.0 H x 37.0 W x 38.97 D in brown/Wood in Red | 37"" H X 37"" W X 38.97"" D | Wayfair","This comfortable recliner is like a fine work of art. Its unique shape perfectly fits the curve of the human body, giving the ultimate comfort experience. Lying on it, as if you are in a peaceful ocean, surrounded by tenderness and coziness, enjoy the good time of relaxation and leisure. Whether it is placed on the balcony or indoors, it can become a beautiful landscape and add a different charm to life. HUANXIN LIGHTING | Lounge Chair - HUANXIN LIGHTING A comfortable lounge chair 37.0 H x…",a red chair sitting in front of a glass table next to a couch and coffee table,https://i.pinimg.com/736x/a7/4c/a4/a74ca436f8461ae04a25227dc0398243.jpg
381046818490224776,Creative & Modern Yellow Solid Wood & Velvet Accent Chair with Metal Base,"- Overall Dimensions: 35.4""L x 33.5""W x 28.3""H (900mmL x 850mmW x 720mmH)",a yellow chair sitting on top of a white rug next to a table and vase,https://i.pinimg.com/736x/7c/7f/68/7c7f689f87e9448aad785b76d480f14d.jpg
442619469674855803,"Charles & Ray Eames, Mid-Century Modern, Eames Lounge Chair, Black Leather, Wood","Charles & Ray Eames, Mid-Century Modern, Eames Lounge Chair, Black Leather, Wood An authentic Herman Miller 670 lounge chair and matching 671 ottoman, designed by Charles Eames (1907-1978) and Ray Eames (1912-1988). Iconic Mid Century Modern design. Cushioned brown leather with rosewood veneered molded plywood frame and cast metal base. Retains original Herman Miller black metal label together with paper paten label, dated from 1964-1978. Lounge chair measures approximately 30.5"" x 33"" x 34"". O",an eames lounge chair and ottoman in black leather,https://i.pinimg.com/736x/40/b7/ce/40b7ce80f89318b61bf48cbf94ebe992.jpg
97108935732852585,Egg Chair In Walnut Leather & Silver Grey Base By Arne Jacobsen For Fritz Hansen,"The Egg™ chair by Arne Jacobsen is a masterpiece of Danish design. Jacobsen found the perfect shape for the chair by experimenting with wire and plaster in his garage. Today, the egg chair is recognized worldwide as one of the triumphs of Jacobsen’s legendary career and a Scandinavian design icon. Material : Grace walnut leather & silver grey star base (powder coated Model 3316",the egg chair is shown in brown leather,https://i.pinimg.com/736x/06/c6/2a/06c62a6c9aacafc37b1c2d714b7533a3.jpg
403564816621112420,Living Creatively: Let's Talk Bauhaus: Our Favorite Chairs,Bauhaus Style Chairs,"the different types of chairs are shown in this image, and there is also an info sheet",https://i.pinimg.com/736x/f9/84/c8/f984c886d75ec06c5509c3cf7ec67155.jpg
